"cod","country","second","pop_risk","pop_tot","incid"
"BHS-5010","The Bahamas","City of Freeport",0,0,0
"BHS-5011","The Bahamas","West Grand Bahama",392.796918630482,392.796918630482,1
"BHS-5012","The Bahamas","East Grand Bahama",46.3124829780445,46.3124829780445,1
"BHS-5014","The Bahamas","North Abaco",42.2610824385282,42.2610824385282,1
"BHS-5015","The Bahamas","Central Abaco",111.79250482361,111.79250482361,1
"BHS-5016","The Bahamas","South Abaco",37.512209963532,37.512209963532,1
"BHS-5019","The Bahamas","North Andros",41.3119687231361,41.3119687231361,1
"BHS-5020","The Bahamas","Central Andros",12.4303549195348,12.4303549195348,1
"BHS-5021","The Bahamas","Mangrove Cay",3.72975725405111,3.72975725405111,1
"BHS-5022","The Bahamas","South Andros",11.2318783128934,11.2318783128934,1
"BHS-5024","The Bahamas","Exuma",67.798976979873,67.798976979873,1
"BHS-5025","The Bahamas","Spanish Wells",0,0,0
"BHS-5026","The Bahamas","Harbour Island",0,0,0
"BHS-5027","The Bahamas","North Eleuthera",35.5805636124363,35.5805636124363,1
"BHS-5028","The Bahamas","Central Eleuthera",9.50744599042182,9.50744599042182,1
"BHS-5029","The Bahamas","South Eleuthera",21.7740523714438,21.7740523714438,1
"BHS-5030","The Bahamas","Cat Island",14.810501980024,14.810501980024,1
"BHS-5031","The Bahamas","San Salvador",6.76037521327381,6.76037521327381,1
"BHS-5033","The Bahamas","Long Island",18.3242484152399,18.3242484152399,1
"BHS-5035","The Bahamas","Crooked Island and Long Cay",2.64482658579893,2.64482658579893,1
"BHS-5036","The Bahamas","Acklins",6.35254903320478,6.35254903320478,1
"BHS-5037","The Bahamas","Mayaguana",3.09978457160496,3.09978457160496,1
"BHS-5038","The Bahamas","Inagua",7.46166334374147,7.46166334374147,1
"BHS-5040","The Bahamas","Hope Town",0,0,0
"BLZ+99?","Belize",NA,0,0,0
"BLZ-1323","Belize","Belize",3.73198843665212,1238.60387842197,0.00301306051245926
"BLZ-1324","Belize","Cayo",0,1005.15958050541,0
"BLZ-1325","Belize","Corozal",0,779.598812132578,0
"BLZ-1326","Belize","Orange Walk",0,495.629929577275,0
"BLZ-1355","Belize","Stann Creek",0,426.404425590725,0
"BLZ-1356","Belize","Toledo",0,427.577703579383,0
"BMU-5134","Bermuda","City of Hamilton",0,0,0
"BMU-5135","Bermuda","City of Saint George",0,0,0
"BMU-5136","Bermuda","Devonshire",0,0,0
"BMU-5137","Bermuda","Hamilton",0,0,0
"BMU-5138","Bermuda","Paget",0,0,0
"BMU-5139","Bermuda","Pembroke",0,539.91429327011,0
"BMU-5140","Bermuda","Saint George's",0,0,0
